LDCpointID,PrimaryKey,X_WSG1984,Y_WSG1984
10485,18090411314123772018-09-01,-105.84712812999999,38.16824614300003
10486,20148109200811B2,-106.02576186999994,38.155054428000035
10487,COF07000_2020_MtnSage-21512019-09-01,-107.060889982,38.073848620000035
10488,COF03000_2019_MTN-1762019-09-01,-106.18441386499995,38.143208137000045
10489,20228109200807B1,-106.30543943099997,38.134049108000056
10490,CO_TRFO_LUP_2018_PP_295_V12022-09-01,-108.84930864199998,37.91421529000007
10491,20123217071701R1,-114.15024376199995,37.294139478000034
10492,20123217061201R2,-114.717496859,37.21460943100004
10493,CO_TRFO-2020_GR-305_V12020-09-01,-108.60729473299995,37.93748996900007
10494,CO_San-Luis-Valley-Field-Office-2020_MOOT-NR-007_V12020-09-01,-106.40127087099995,38.127218320000054
10495,CO_TRFO_LUP_2023_TRFO2023-007_V22023-09-01,-108.60732249299997,37.937933969000035
10496,20164953100109B1,-112.92693824399998,37.45771557900008
10497,17080110405318522017-09-01,-107.08273039699998,38.07314604800007
10498,19091110051562902019-09-01,-114.02239173899994,37.312915489000034
10499,20164953100109B2,-112.921409843,37.45922888000007
10500,20228109200807B2,-106.29890372899997,38.136179808000065
10501,20213223205609B2,-116.59390546999998,36.933886973000035
10502,CO_TRFO-2020_SS-094_V12020-09-01,-108.91081608499996,37.910734095000066
10503,20228113201120B1,-108.61467621499997,37.93908692900004
10504,19041010482456892019-09-01,-113.86254171099995,37.336015502000066
10505,17062808043677202017-09-01,-106.06196842799993,38.15536330600003
10506,UT_St.George-LUP-Random-2021_WDL-347_V12021-09-01,-113.64626787299994,37.367627060000075
10507,COF03000_2018_FO-3292019-09-01,-106.29091591699995,38.140429469000026
10508,20228113201120B2,-108.62018741599996,37.94183042900005
10509,CO_CO_HorsePark_ES&R_2021_HorseParkWildfire-37_V12021-09-01,-108.52179188599997,37.95118756600005
10510,17051916421837042017-09-01,-116.66809218199995,36.926435267000045
10511,CO_SWDO_ESR_2022_HorseParkWildfire-37_V22023-09-01,-108.52184289599995,37.951343337000026
10512,COF03000_2019_LOAM-1442019-09-01,-106.50518699399998,38.125534483000024
10513,17062609520445772017-09-01,-107.01879038299995,38.08456605400005
10514,NV_EYDO_ESR_GREG_2022_GREG_LSMIX_05_V12022-09-01,-114.89961369099996,37.19581496600006
10515,NV_EYDO_ESR_GREG_2022_GREG-LSMIX-05_V22023-09-01,-114.89960400099993,37.195838606000045
10516,CO_GFO_LUP_2020_Conifer-1001_V22023-09-01,-107.01874712299997,38.085032684000055
10517,CO_SLVFO_LUP_2020_ROCK_234_V22022-09-01,-105.82987228799999,38.177537475000065
10518,17082212210624192017-09-01,-105.82980512799996,38.17757447500003
10520,17071512145778292017-09-01,-111.45110225199994,37.64658392200005
10521,UT_GSENM_LUP_2021_GSENM2021_048_V22022-09-01,-111.86239835899994,37.598887768000054
10522,14072908253831442014-09-01,-111.86239206999994,37.59889466800007
10523,19090914415860322019-09-01,-114.03081174199997,37.32069548900006
10524,CO_SLVFO_LUP_2020_LOAMY_NR_008_V12022-09-01,-106.50627633499994,38.12868010400006
10525,UT_MNFO_LUP_2019_BA_213_V12022-09-01,-110.28178241799998,37.77896977700004
10526,18071016051294212018-09-01,-105.83185012799999,38.180037145000036
10527,CO_SLVFO_LUP_2020_ROCK-238_V22023-09-01,-105.83192578799998,38.18005526500008
10528,COF02000_2019_PO-7782019-09-01,-105.44667510499994,38.20767271400006
10529,CO_SLVFO_LUP_2020_MTN_170_V22022-09-01,-105.95233237499997,38.171594826000046
10530,17082411281819482017-09-01,-105.95230015499999,38.17162280600007
10531,20164917100307B2,-111.951909866,37.58958516100006
10532,CO_SLVFO_LUP_2020_LOAM_130_V22022-09-01,-106.35810538299995,38.14157237500007
10533,17081514014735212017-09-01,-106.35807676199994,38.14157664500004
10534,UT_St.George-LUP-Random-2020_RPN-201_V12020-09-01,-113.64208917399998,37.37500766200003
10535,1506170913422412015-09-01,-106.18150220499996,38.155167118000065
10536,19031313203347572019-09-01,-113.71303168499996,37.36624551600005
10537,17072808072050272017-09-01,-110.77683114399997,37.72688575800004
10538,14072708463744372014-09-01,-111.33402633099996,37.66392769200007
10539,20183217201406B3,-114.55129183199995,37.25084874600003
10540,UT_GSENM_LUP_2021_GSENM2021_038_V22022-09-01,-111.33401544099996,37.663939052000046
10541,UT_MFO_LUP_2019_PJ-162_V12023-09-01,-110.08510474999997,37.802400583000065
10542,CO_GFO_LUP_2020_Forest_Other-051_V12023-09-01,-107.09305130999996,38.08421413900004
10544,18072614160589462018-09-01,-108.57950070899993,37.95300593300004
10545,CA_BIFO_LUP_2018_SIMA_25_V12022-09-01,-118.04094751799994,36.70773345200007
10546,20174917100303B1,-112.10765969499994,37.57277064800007
10547,COS05000_2019_AS-0022019-09-01,-108.13464305799994,37.99435458800008
10548,CO_SLVFO_LUP_2020_FO_317_V22022-09-01,-106.40619592399997,38.13974659200005
10549,16062208530446882016-09-01,-106.40618676299994,38.13976164200005
10550,CO_SLVFO_LUP_2020_LOAMY_NR_007_V12022-09-01,-106.50294597499999,38.132538984000064
10551,14071108511615602014-09-01,-112.09812043399995,37.57447601000007
10552,19060213424639612019-09-01,-111.41273126499999,37.655985706000024
10553,UT_St.George-LUP-Random-2021_SC-273_V12021-09-01,-113.68740047199998,37.37111156800007
10554,UT_GSENM_INTS_2021_GSENM2021-054_V12023-09-01,-111.41276287599999,37.656007566000035
10555,20164917100307B3,-111.94993456599997,37.59311296200008
10556,NV_EYDO_ESR_GREG_2022_GREG_SCMIX_13_V12022-09-01,-114.89389317099995,37.20394846700003
10557,CO_TRFO_LUP_2023_TRFO2023-028_V22023-09-01,-108.86591119699995,37.92730763100008
10558,CO_TRFO_LUP_2018_PP_293_V12022-09-01,-108.86596644699995,37.92731808100007
10559,NV_EYDO_ESR_GREG_2022_GREG-SCMIX-13_V22023-09-01,-114.89389494999995,37.20397710800006
10560,19051816403713492019-09-01,-118.19283242099998,36.68341514000008
10561,18060112083972192018-09-01,-108.77994074999998,37.93596591700003
10562,CO_TRFO_LUP_2023_TRFO2023-056_V22023-09-01,-108.77989519899995,37.93598148700005
10563,20154917100316B3,-112.02617807999997,37.58454395500007
10564,NV_NV-Ely-DO-2021_EDO2021-NR-013_V12021-09-01,-114.55471286299996,37.253182956000046
10565,CO_TRFO_LUP_2023_TRFO2023-060_V12023-09-01,-108.74196035199998,37.93998746100005
10566,20143217201414B1,-114.64917514899997,37.23992543800006
10567,14072915232233122014-09-01,-111.43156748899997,37.65576952500004
10568,20143217201414B2,-114.64341184799997,37.24126713900006
10569,CA_BIFO_LUP_2018_MMDS_282_V12022-09-01,-118.15863888699994,36.690750722000075
10570,UT_Utah-Monticello-FO-2019_PJ-136_V12021-09-01,-110.18283857899996,37.795588665000025
10571,20158109200801B2,-106.39849195199997,38.14343440300007
10572,CO_SLVFO_LUP_2020_HILL_020_V22022-09-01,-105.96524093799997,38.176678296000034
10573,17082407531667372017-09-01,-105.96524515799995,38.176691136000045
10574,14072910592341532014-09-01,-111.64431617899999,37.63208580700007
10575,20144917203614B1,-110.72150783399996,37.73771246300004
10577,UT_MNFO_LUP_2019_SS_257_V12022-09-01,-109.12520158999997,37.904750500000034
10578,17083010392688962017-09-01,-106.27170522499995,38.15455611300007
10579,CO_SLVFO_LUP_2020_HILL_017_V22022-09-01,-106.27170328499993,38.15455807200004
10580,20174917100303B3,-112.10903139699997,37.57801894900006
10581,20224953204113B1,-114.01618673999997,37.331378792000066
10582,19031812582511512019-09-01,-113.22888159999997,37.436965557000065
10583,CO_TRFO_LUP_2023_TRFO2023-NR-005_V12023-09-01,-108.59759406299997,37.957163053000045
10584,20158109200801B3,-106.39227355099997,38.146326103000035
10585,UT_GSENM-LUP-Random-2020_Riparian-485_V12020-09-01,-111.62429977599999,37.63646016900003
10586,12061814040444872012-09-01,-114.62523958499997,37.24798537100003
10587,NV_EYDO_ESR_MEAD_2022_MEAD_FMIX_53_V12022-09-01,-114.61532428399994,37.24942048100007
10588,NV_EYDO_ESR_MEAD_2022_MEAD-FMIX-53_V22023-09-01,-114.61530523299996,37.24948179200004
